matricula_hash,contest,Porcentagem media de problemas aceitos por contest,Porcentagem media de problemas que tiveram alguma tentativa por contest,Media do numero de submissoes em problemas aceitos,Porcentagem media de problemas sem submissoes por contest,Porcentagem media de problemas que tiveram poucas tentativas e nao foram aceitos por contest,Porcentagem media de problemas que tiveram muitas tentativas e nao foram aceitos por contest,Porcentagem media de problemas que tiveram poucas tentativas e foram aceitos por contest,Porcentagem media de problemas que tiveram muitas tentativas e foram aceitos por contest,Porcentagem media de submissoes como 'Wrong Answer' por contest,Porcentagem media de submissoes como 'Compilation Error' por contest,Porcentagem media de submissoes como 'Presentation Error' por contest,Porcentagem media de submissoes como 'Runtime Error' por contest,Porcentagem media de submissoes como 'Time Limit Exceeded' por contest,Reprovado
0cb5004a50336e2f3e167850f4b4b478a85246cd7d4e939ddf20f2b84eeb9442,1,80.0,80.0,1.0,20.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,1
45a5765542b4b729c15ea4cb923fb57ebc605974ce5f12f17d105fa66c986467,1,100.0,100.0,1.6,0.0,0.0,0.0,100.0,0.0,37.5,0.0,0.0,0.0,0.0,0
bea1fd598b044294e94c08fb6ba66c880547527b0fca4c98433ea5c5255b6486,1,100.0,100.0,1.4,0.0,0.0,0.0,100.0,0.0,0.0,14.29,14.29,0.0,0.0,1
799b2f548873803efe48c048658e7a32e405e76d7e663f0d12ecfa1673b00537,1,100.0,100.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0
c4506198362a6220a047d58436157cb7b979a17b26468919083b35cb98f15b30,1,100.0,100.0,1.2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,16.67,0.0,0.0,1
bcb38285a751e5bcfddde8b7f29c0908f8e8eba18faa760212562ca07f9eef7f,1,100.0,100.0,1.8,0.0,0.0,0.0,100.0,0.0,44.44,0.0,0.0,0.0,0.0,0
aaa3ab1e01811252bb31de41636113bc47293fe336a7ea78a8ee1f58608a1abf,1,100.0,100.0,2.0,0.0,0.0,0.0,100.0,0.0,10.0,40.0,0.0,0.0,0.0,0
cf6336d49584f825d46a57f67e604990f3ad494e8dcfb71ed8d1ef644f25edcd,1,0.0,0.0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
68fcd3b793482448ca94a2241db04843ab272b8d8677343341fb7d18ea5485c6,1,100.0,100.0,2.8,0.0,0.0,0.0,100.0,0.0,42.86,14.29,7.14,0.0,0.0,0
abaed87e2373eb3a8a03366d7c863fd66dbda275d92fc9701378e675ba5ef576,1,100.0,100.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1c3308ecd3375157eb083199b671426a2fc58d3b6c66de953c945bb755d34e0f,1,100.0,100.0,1.6,0.0,0.0,0.0,100.0,0.0,0.0,0.0,12.5,25.0,0.0,0
b7a6aa6f564e2e8617ea4e3d443c781d5f890377a584b8d46491d2bcc33e5f36,1,100.0,100.0,1.2,0.0,0.0,0.0,100.0,0.0,0.0,16.67,0.0,0.0,0.0,0
c6226fb275c73f0679f124c7d0e7fc2811927d017d2398687f8ebb08706b739d,1,100.0,100.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1f19ae40ed3f3b706a126d937c13bc177278eccfb8bd350d763e488a93361ae4,1,100.0,100.0,1.6,0.0,0.0,0.0,100.0,0.0,37.5,0.0,0.0,0.0,0.0,0
cf71338c3f7b8e22356a1bdb749e0919bb3cd47b59654cc51af6515bbbe5c13b,1,100.0,100.0,1.2,0.0,0.0,0.0,100.0,0.0,16.67,0.0,0.0,0.0,0.0,0
a87cc43424df17bf53075e8f1d45946fc92de83bc076df60601ee6bc1f848c76,1,60.0,60.0,1.33,40.0,0.0,0.0,60.0,0.0,25.0,0.0,0.0,0.0,0.0,1
3e67e55bb5f2d1074d9561698136116e36c53a322ffd532c304893dfd33ce800,1,100.0,100.0,2.2,0.0,0.0,0.0,100.0,0.0,45.45,0.0,9.09,0.0,0.0,0
5f6d449c8d3031dca05469e64697092dd2e4dc4a19db4862541ddc0c63bad82c,1,100.0,100.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4a7bb23be71c867d8836f1715f438ef910086453584adeeca911395477163889,1,100.0,100.0,1.4,0.0,0.0,0.0,100.0,0.0,14.29,14.29,0.0,0.0,0.0,1
dbb58a782a8391f9362b61146ae301e107ef5d32fec11c4c80cb97a4c4f3b1fe,1,100.0,100.0,1.4,0.0,0.0,0.0,100.0,0.0,28.57,0.0,0.0,0.0,0.0,0
47f1445ad3227255f109bb198c46395daa6c73600a62556b36345a50077406fb,1,100.0,100.0,1.6,0.0,0.0,0.0,100.0,0.0,37.5,0.0,0.0,0.0,0.0,0
17f7ca84e36994df24a05835ee7f3128261237591efaecdf72608f5d3373d72d,1,100.0,100.0,1.4,0.0,0.0,0.0,100.0,0.0,28.57,0.0,0.0,0.0,0.0,0
f639dee99b5659f9e923aa60cbedc3a9e73f3b85a807b40448b6dd901794f5c2,1,60.0,60.0,1.67,40.0,0.0,0.0,60.0,0.0,20.0,0.0,20.0,0.0,0.0,1
4466cd3c0ca55904f2c68b9f3ebb6e4b40278381e0e1ee75229e484a0987bc5b,1,100.0,100.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0
79ad17a8e48814f83b91649a5a073a7e23c8060d492eb282392e2ad1e71363cc,1,100.0,100.0,1.2,0.0,0.0,0.0,100.0,0.0,16.67,0.0,0.0,0.0,0.0,1
ac8629412f6c5ece590d7135c55f061986a4fee83fcbf3f244906d5a919410ce,1,100.0,100.0,1.2,0.0,0.0,0.0,100.0,0.0,16.67,0.0,0.0,0.0,0.0,0
3c073ffe1fdd55acd3128665dd6e384e3f977405fecd7a635be85b212a1b7fd4,1,100.0,100.0,1.6,0.0,0.0,0.0,100.0,0.0,12.5,0.0,12.5,0.0,0.0,0
0cc37c9e5be980145db7aef50389a2bff86fafb90b5e4b75426af3c3aef04bfa,1,100.0,100.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1
614447fba42b4e35beafd23d5178cca06d46fd25319783ed3971af63974d5535,1,40.0,100.0,1.0,0.0,60.0,0.0,40.0,0.0,0.0,20.0,40.0,0.0,0.0,1
cffc0a6ea2071b47ed8c0e54a4e84cbcb2ca61c6340b30334c1a7ca34c73d28d,1,0.0,0.0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
cc0c7944e2661895b0a2f3b74a136c8950a4068c7c29504baf2f0c47127943c3,1,100.0,100.0,2.4,0.0,0.0,0.0,80.0,20.0,16.67,0.0,25.0,0.0,0.0,1
0be2b7c75dfd77409d159bff089dcdb5b1c7834d921d6cbea10b7a58e3025006,1,100.0,100.0,1.6,0.0,0.0,0.0,100.0,0.0,12.5,25.0,0.0,0.0,0.0,0
46993a895c360e78be1a7a1425272cf3265cadb6c43f33d93417ab11a160a0db,1,100.0,100.0,1.6,0.0,0.0,0.0,100.0,0.0,25.0,0.0,12.5,0.0,0.0,1
34d83ec67536839543ded39cf33279c621603bddf05c4c56c3cf4bb173258989,1,100.0,100.0,1.8,0.0,0.0,0.0,100.0,0.0,33.33,0.0,11.11,0.0,0.0,0
bccaccc6ab78a7caf620f11c4cd74c76eff0904a29cc04e70ba47bd7533d1c28,1,100.0,100.0,1.2,0.0,0.0,0.0,100.0,0.0,16.67,0.0,0.0,0.0,0.0,1
ee6d82a67d8cf3f6a8be6e6e20b5e6563580daf8a9eb274246a088620ffaf1f3,1,80.0,80.0,1.0,20.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,1
