matricula_hash,Porcentagem media de problemas aceitos por contest,Porcentagem media de problemas que tiveram alguma tentativa por contest,Media do numero de submissoes em problemas aceitos,Porcentagem media de problemas sem submissoes por contest,Porcentagem media de problemas que tiveram poucas tentativas e nao foram aceitos por contest,Porcentagem media de problemas que tiveram muitas tentativas e nao foram aceitos por contest,Porcentagem media de problemas que tiveram poucas tentativas e foram aceitos por contest,Porcentagem media de problemas que tiveram muitas tentativas e foram aceitos por contest,Porcentagem media de submissoes como 'Wrong Answer' por contest,Porcentagem media de submissoes como 'Compilation Error' por contest,Porcentagem media de submissoes como 'Presentation Error' por contest,Porcentagem media de submissoes como 'Runtime Error' por contest,Porcentagem media de submissoes como 'Time Limit Exceeded' por contest,Reprovado
04f8c56be30fd358ec525041df9f3c4b734875c5cf86ed109fbcf2c3fce6344a,95.0,95.0,1.4,5.0,0.0,0.0,95.0,0.0,17.29,0.0,6.25,0.0,0.0,0
0cb5004a50336e2f3e167850f4b4b478a85246cd7d4e939ddf20f2b84eeb9442,56.67,56.67,2.0,43.33,0.0,0.0,56.67,0.0,44.4,3.57,4.17,0.0,0.0,1
e0bfa51e9f7256faebd1af0d822ce236b166b8e42c493f309631f3eb592a080a,46.67,46.67,1.3,53.33,0.0,0.0,46.67,0.0,3.57,0.0,0.0,7.14,0.0,1
30e93783cf0c28c3387ab9a587ae3f4ff291dee67233d136d260402a148f7d0d,59.17,71.67,1.83,28.33,12.5,0.0,59.17,0.0,23.61,19.79,4.17,0.0,0.0,0
5ee3d8417e9f985153a72e2ea027d21b79790d8201fef64319d797afe58f0f1a,56.67,65.83,1.42,34.17,9.17,0.0,56.67,0.0,24.79,0.0,11.46,3.12,0.0,0
350dcc0338f19b755b231c943ac21f9f31828b95a71fa81adc038fffe392ca39,85.83,95.0,1.61,5.0,9.17,0.0,85.83,0.0,39.29,0.0,0.0,0.0,0.0,0
3d36dc3d25993df3aa3bcf16cfe502f591aae7191d09dfb9d64fa84906eca33c,76.67,76.67,1.38,23.33,0.0,0.0,76.67,0.0,22.5,0.0,3.12,0.0,0.0,1
ea5259a36fd73abe3a060e7a41df7cf13e9801e9e20bb4ea0046a52463c91496,100.0,100.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0
a85b0a2687836c98f677848f7ae1ec0686d060e837bd5cc86c538d82b4dcbecb,43.33,57.5,1.22,42.5,14.17,0.0,43.33,0.0,25.0,14.58,0.0,0.0,0.0,0
a99e558a747ce5fef011887a4c62424c59c9f223b34cf2eca7504bbd525078f8,19.17,28.33,1.75,71.67,9.17,0.0,19.17,0.0,25.0,16.67,8.33,0.0,0.0,1
26782ebc1c672ed1f67e674f6ed3d00ad6acb94b7aa6aab18dce9cc2b6937649,41.67,41.67,1.0,58.33,0.0,0.0,41.67,0.0,0.0,0.0,0.0,0.0,0.0,0
f72af3528c7e56e323a475b5d548d7b43c468ea5a90f7b9aeaa1063c4c3fde1a,61.67,66.67,1.23,33.33,5.0,0.0,61.67,0.0,15.0,10.0,0.0,0.0,0.0,0
80ddee563d888929ef844b3d0fa3f0da1bd1d749bdde5602412ad05342f28924,95.0,100.0,1.2,0.0,5.0,0.0,95.0,0.0,7.14,0.0,7.14,0.0,4.17,1
61dc3c90c305808e316af47fcbf5d7e1998c82f3dabb00a834400cb0737c82c1,77.5,77.5,1.38,22.5,0.0,0.0,77.5,0.0,23.21,0.0,3.57,0.0,0.0,0
c415234d469c428c2f6673986f28900273132cbd2a11db4dcddb50496af68d58,100.0,100.0,1.19,0.0,0.0,0.0,100.0,0.0,13.54,0.0,0.0,0.0,0.0,0
52a450eb579e23c5b2a427dd1ff02aad9936867e40d830d9b6453b2f5776497a,55.0,60.0,1.64,40.0,5.0,0.0,55.0,0.0,24.6,0.0,2.78,0.0,0.0,1
2a5ca42c557bb1dfe4b12953c991c43c9b5a28691aeb9a0dbe9f975e6e5afa76,100.0,100.0,1.33,0.0,0.0,0.0,100.0,0.0,9.64,2.5,0.0,0.0,7.5,0
7392f0f5db87a9ced8665372036b8e76aea1319abe03263587581cef5c9b2445,42.5,50.83,1.56,49.17,8.33,0.0,42.5,0.0,33.04,0.0,0.0,0.0,0.0,0
562ba2ce3025561aa35f7d8046b64566e58bb12a7dd1c549f5333f00a1e70227,76.67,90.0,1.5,10.0,13.33,0.0,76.67,0.0,35.21,0.0,3.12,0.0,0.0,0
0a7639a1f967e36844f2e0ce2f6f064f81fe40d674da30ce43b7af79e37c17be,95.0,95.0,1.1,5.0,0.0,0.0,95.0,0.0,5.0,0.0,4.17,0.0,0.0,0
ed9cd131d72aea4da9bb8f1fe3287c88fc14e827af618332ffcf4cb20cb3debf,100.0,100.0,1.29,0.0,0.0,0.0,100.0,0.0,16.07,0.0,2.78,0.0,0.0,0
