matricula_hash,Porcentagem media de problemas aceitos por contest,Porcentagem media de problemas que tiveram alguma tentativa por contest,Media do numero de submissoes em problemas aceitos,Porcentagem media de problemas sem submissoes por contest,Porcentagem media de problemas que tiveram poucas tentativas e nao foram aceitos por contest,Porcentagem media de problemas que tiveram muitas tentativas e nao foram aceitos por contest,Porcentagem media de problemas que tiveram poucas tentativas e foram aceitos por contest,Porcentagem media de problemas que tiveram muitas tentativas e foram aceitos por contest,Porcentagem media de submissoes como 'Wrong Answer' por contest,Porcentagem media de submissoes como 'Compilation Error' por contest,Porcentagem media de submissoes como 'Presentation Error' por contest,Porcentagem media de submissoes como 'Runtime Error' por contest,Porcentagem media de submissoes como 'Time Limit Exceeded' por contest,Reprovado
04f8c56be30fd358ec525041df9f3c4b734875c5cf86ed109fbcf2c3fce6344a,86.21,91.51,1.22,8.48,5.3,0.0,86.21,0.0,14.49,2.81,4.55,0.0,0.0,0
0cb5004a50336e2f3e167850f4b4b478a85246cd7d4e939ddf20f2b84eeb9442,20.61,20.61,2.0,79.39,0.0,0.0,20.61,0.0,16.15,1.3,1.52,0.0,0.0,1
e0bfa51e9f7256faebd1af0d822ce236b166b8e42c493f309631f3eb592a080a,43.64,45.45,1.48,54.55,1.82,0.0,43.64,0.0,13.42,03.03,0.0,7.14,0.0,1
30e93783cf0c28c3387ab9a587ae3f4ff291dee67233d136d260402a148f7d0d,36.06,50.76,1.8,49.24,14.7,0.0,36.06,0.0,30.27,14.83,3.33,1.82,0.0,0
5ee3d8417e9f985153a72e2ea027d21b79790d8201fef64319d797afe58f0f1a,56.21,61.06,1.5,38.94,4.85,0.0,56.21,0.0,19.62,0.0,16.59,1.14,0.0,0
350dcc0338f19b755b231c943ac21f9f31828b95a71fa81adc038fffe392ca39,71.82,78.48,1.37,21.52,6.67,0.0,71.82,0.0,19.13,0.0,06.06,1.52,0.0,0
3d36dc3d25993df3aa3bcf16cfe502f591aae7191d09dfb9d64fa84906eca33c,48.64,48.64,1.54,51.36,0.0,0.0,48.64,0.0,11.82,1.3,05.03,0.91,0.0,1
ea5259a36fd73abe3a060e7a41df7cf13e9801e9e20bb4ea0046a52463c91496,91.82,93.64,1.15,6.36,1.82,0.0,91.82,0.0,6.6,2.27,0.0,3.12,0.0,0
a85b0a2687836c98f677848f7ae1ec0686d060e837bd5cc86c538d82b4dcbecb,42.88,50.3,1.33,49.7,7.42,0.0,42.88,0.0,26.56,5.3,0.0,0.0,0.0,0
a99e558a747ce5fef011887a4c62424c59c9f223b34cf2eca7504bbd525078f8,10.3,15.15,1.5,84.85,4.85,0.0,10.3,0.0,09.09,06.06,03.03,0.0,0.0,1
26782ebc1c672ed1f67e674f6ed3d00ad6acb94b7aa6aab18dce9cc2b6937649,33.64,33.64,1.0,66.36,0.0,0.0,33.64,0.0,0.0,0.0,0.0,0.0,0.0,0
f72af3528c7e56e323a475b5d548d7b43c468ea5a90f7b9aeaa1063c4c3fde1a,53.94,55.76,1.2,44.24,1.82,0.0,53.94,0.0,12.58,3.64,0.0,0.0,0.0,0
80ddee563d888929ef844b3d0fa3f0da1bd1d749bdde5602412ad05342f28924,61.52,67.12,1.22,32.88,5.61,0.0,61.52,0.0,15.37,0.0,7.9,0.0,1.52,1
61dc3c90c305808e316af47fcbf5d7e1998c82f3dabb00a834400cb0737c82c1,50.0,51.52,1.79,48.48,1.52,0.0,47.73,2.27,17.69,0.53,7.18,0.0,0.0,0
c415234d469c428c2f6673986f28900273132cbd2a11db4dcddb50496af68d58,100.0,100.0,1.21,0.0,0.0,0.0,100.0,0.0,10.8,0.0,1.52,01.01,0.0,0
52a450eb579e23c5b2a427dd1ff02aad9936867e40d830d9b6453b2f5776497a,20.0,21.82,1.64,78.18,1.82,0.0,20.0,0.0,8.95,0.0,01.01,0.0,0.0,1
2a5ca42c557bb1dfe4b12953c991c43c9b5a28691aeb9a0dbe9f975e6e5afa76,90.91,90.91,1.43,09.09,0.0,0.0,90.91,0.0,11.69,1.82,04.09,2.27,2.73,0
7392f0f5db87a9ced8665372036b8e76aea1319abe03263587581cef5c9b2445,42.58,48.94,1.54,51.06,6.36,0.0,42.58,0.0,24.22,0.0,6.67,0.0,0.0,0
562ba2ce3025561aa35f7d8046b64566e58bb12a7dd1c549f5333f00a1e70227,57.73,64.09,1.45,35.91,6.36,0.0,57.73,0.0,19.47,1.82,6.29,2.27,0.0,0
0a7639a1f967e36844f2e0ce2f6f064f81fe40d674da30ce43b7af79e37c17be,72.12,72.12,1.24,27.88,0.0,0.0,72.12,0.0,11.52,0.0,03.03,0.0,0.0,0
ed9cd131d72aea4da9bb8f1fe3287c88fc14e827af618332ffcf4cb20cb3debf,85.45,85.45,1.24,14.55,0.0,0.0,85.45,0.0,12.6,0.0,2.83,0.0,0.0,0
47f6bfb45728913d001d8e2f29ab96c34fc293474cdd220a61f1ce831478dcab,86.52,89.55,1.39,10.45,03.03,0.0,86.52,0.0,16.08,0.0,01.01,2.27,0.0,0
2f4a6357ae2e4a825ba55427dc7a862f7f5e6abff4983313601acd073f70852c,90.91,90.91,1.35,09.09,0.0,0.0,90.91,0.0,20.67,0.76,0.0,0.0,0.0,0
7f38483ca4309ac055a4fc292cde9aabc36d6a5571e1968391b242d8cfd3a077,67.27,69.09,1.32,30.91,1.82,0.0,67.27,0.0,10.61,3.12,07.01,0.0,0.0,0
12cdfdada01d38158da8a5e565b2169fdc5331e5efe6cf986185cd33126ca6d8,60.76,63.79,1.49,36.21,03.03,0.0,60.76,0.0,19.36,1.14,6.17,0.0,0.0,1
f0cf3b518e4a8080a81e32b66eef43ba39c7d909a61e38a7137917894ac03807,84.55,86.36,1.19,13.64,1.82,0.0,84.55,0.0,9.52,1.52,0.0,03.03,1.52,0
cea079a7221ffd65f49086f8b6fb6e81c87728021dca4dce213469f66abc0244,47.73,47.73,1.78,52.27,0.0,0.0,47.73,0.0,18.38,2.27,6.21,2.27,0.0,1
ba62919bbf94a3a3585a92f3778656e79380caeef1f2829788e3b1cae8e9d86d,0.0,0.0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
