matricula_hash,Porcentagem media de problemas aceitos por contest,Porcentagem media de problemas que tiveram alguma tentativa por contest,Media do numero de submissoes em problemas aceitos,Porcentagem media de problemas sem submissoes por contest,Porcentagem media de problemas que tiveram poucas tentativas e nao foram aceitos por contest,Porcentagem media de problemas que tiveram muitas tentativas e nao foram aceitos por contest,Porcentagem media de problemas que tiveram poucas tentativas e foram aceitos por contest,Porcentagem media de problemas que tiveram muitas tentativas e foram aceitos por contest,Porcentagem media de submissoes como 'Wrong Answer' por contest,Porcentagem media de submissoes como 'Compilation Error' por contest,Porcentagem media de submissoes como 'Presentation Error' por contest,Porcentagem media de submissoes como 'Runtime Error' por contest,Porcentagem media de submissoes como 'Time Limit Exceeded' por contest,Reprovado
04f8c56be30fd358ec525041df9f3c4b734875c5cf86ed109fbcf2c3fce6344a,85.93,89.63,1.27,10.37,3.7,0.0,85.93,0.0,14.93,3.44,5.56,0.0,0.0,0
0cb5004a50336e2f3e167850f4b4b478a85246cd7d4e939ddf20f2b84eeb9442,25.19,25.19,2.0,74.81,0.0,0.0,25.19,0.0,19.74,1.59,1.85,0.0,0.0,1
e0bfa51e9f7256faebd1af0d822ce236b166b8e42c493f309631f3eb592a080a,46.11,46.11,1.45,53.89,0.0,0.0,46.11,0.0,8.99,0.0,0.0,8.73,0.0,1
30e93783cf0c28c3387ab9a587ae3f4ff291dee67233d136d260402a148f7d0d,44.07,54.26,1.8,45.74,10.19,0.0,44.07,0.0,22.72,10.19,04.07,2.22,0.0,0
5ee3d8417e9f985153a72e2ea027d21b79790d8201fef64319d797afe58f0f1a,59.26,65.18,1.39,34.81,5.93,0.0,59.26,0.0,18.43,0.0,12.87,1.39,0.0,0
350dcc0338f19b755b231c943ac21f9f31828b95a71fa81adc038fffe392ca39,75.56,83.7,1.42,16.3,8.15,0.0,75.55,0.0,23.39,0.0,7.41,1.85,0.0,0
3d36dc3d25993df3aa3bcf16cfe502f591aae7191d09dfb9d64fa84906eca33c,59.44,59.44,1.54,40.56,0.0,0.0,59.44,0.0,14.44,1.59,6.15,1.11,0.0,1
ea5259a36fd73abe3a060e7a41df7cf13e9801e9e20bb4ea0046a52463c91496,92.22,94.44,01.09,5.56,2.22,0.0,92.22,0.0,5.29,0.0,0.0,3.81,0.0,0
a85b0a2687836c98f677848f7ae1ec0686d060e837bd5cc86c538d82b4dcbecb,42.41,51.48,1.15,48.52,09.07,0.0,42.41,0.0,20.24,6.48,0.0,0.0,0.0,0
a99e558a747ce5fef011887a4c62424c59c9f223b34cf2eca7504bbd525078f8,10.37,16.3,1.6,83.7,5.93,0.0,10.37,0.0,11.11,7.41,3.7,0.0,0.0,1
26782ebc1c672ed1f67e674f6ed3d00ad6acb94b7aa6aab18dce9cc2b6937649,36.11,36.11,1.0,63.89,0.0,0.0,36.11,0.0,0.0,0.0,0.0,0.0,0.0,0
f72af3528c7e56e323a475b5d548d7b43c468ea5a90f7b9aeaa1063c4c3fde1a,53.7,55.93,1.16,44.07,2.22,0.0,53.7,0.0,8.89,4.44,0.0,0.0,0.0,0
80ddee563d888929ef844b3d0fa3f0da1bd1d749bdde5602412ad05342f28924,63.52,67.59,1.23,32.41,04.07,0.0,63.52,0.0,13.23,0.0,6.88,0.0,1.85,1
61dc3c90c305808e316af47fcbf5d7e1998c82f3dabb00a834400cb0737c82c1,58.33,60.19,1.81,39.81,1.85,0.0,55.56,2.78,21.62,0.65,8.78,0.0,0.0,0
c415234d469c428c2f6673986f28900273132cbd2a11db4dcddb50496af68d58,100.0,100.0,1.21,0.0,0.0,0.0,100.0,0.0,10.03,0.0,1.85,1.23,0.0,0
52a450eb579e23c5b2a427dd1ff02aad9936867e40d830d9b6453b2f5776497a,24.44,26.67,1.64,73.33,2.22,0.0,24.44,0.0,10.93,0.0,1.23,0.0,0.0,1
2a5ca42c557bb1dfe4b12953c991c43c9b5a28691aeb9a0dbe9f975e6e5afa76,88.89,88.89,1.31,11.11,0.0,0.0,88.89,0.0,07.06,1.11,5.0,1.39,3.33,0
7392f0f5db87a9ced8665372036b8e76aea1319abe03263587581cef5c9b2445,46.48,54.26,1.36,45.74,7.78,0.0,46.48,0.0,21.67,0.0,8.15,0.0,0.0,0
