matricula_hash,Porcentagem media de problemas aceitos por contest,Porcentagem media de problemas que tiveram alguma tentativa por contest,Media do numero de submissoes em problemas aceitos,Porcentagem media de problemas sem submissoes por contest,Porcentagem media de problemas que tiveram poucas tentativas e nao foram aceitos por contest,Porcentagem media de problemas que tiveram muitas tentativas e nao foram aceitos por contest,Porcentagem media de problemas que tiveram poucas tentativas e foram aceitos por contest,Porcentagem media de problemas que tiveram muitas tentativas e foram aceitos por contest,Porcentagem media de submissoes como 'Wrong Answer' por contest,Porcentagem media de submissoes como 'Compilation Error' por contest,Porcentagem media de submissoes como 'Presentation Error' por contest,Porcentagem media de submissoes como 'Runtime Error' por contest,Porcentagem media de submissoes como 'Time Limit Exceeded' por contest,Reprovado
04f8c56be30fd358ec525041df9f3c4b734875c5cf86ed109fbcf2c3fce6344a,88.33,90.42,1.27,9.58,02.08,0.0,88.33,0.0,14.72,1.79,6.25,0.0,0.0,0
0cb5004a50336e2f3e167850f4b4b478a85246cd7d4e939ddf20f2b84eeb9442,28.33,28.33,2.0,71.67,0.0,0.0,28.33,0.0,22.2,1.79,02.08,0.0,0.0,1
e0bfa51e9f7256faebd1af0d822ce236b166b8e42c493f309631f3eb592a080a,47.71,47.71,1.3,52.29,0.0,0.0,47.71,0.0,1.79,0.0,0.0,9.82,0.0,1
30e93783cf0c28c3387ab9a587ae3f4ff291dee67233d136d260402a148f7d0d,49.58,61.04,1.8,38.96,11.46,0.0,49.58,0.0,25.56,11.46,4.58,2.5,0.0,0
5ee3d8417e9f985153a72e2ea027d21b79790d8201fef64319d797afe58f0f1a,62.5,69.17,1.42,30.83,6.67,0.0,62.5,0.0,20.73,0.0,14.48,1.56,0.0,0
350dcc0338f19b755b231c943ac21f9f31828b95a71fa81adc038fffe392ca39,78.75,87.92,1.36,12.08,9.17,0.0,78.75,0.0,22.14,0.0,8.33,0.0,0.0,0
3d36dc3d25993df3aa3bcf16cfe502f591aae7191d09dfb9d64fa84906eca33c,60.62,60.62,1.6,39.38,0.0,0.0,60.62,0.0,16.25,1.79,6.92,1.25,0.0,1
ea5259a36fd73abe3a060e7a41df7cf13e9801e9e20bb4ea0046a52463c91496,95.42,97.92,01.05,02.08,2.5,0.0,95.42,0.0,1.79,0.0,0.0,4.29,0.0,0
a85b0a2687836c98f677848f7ae1ec0686d060e837bd5cc86c538d82b4dcbecb,43.54,53.75,1.17,46.25,10.21,0.0,43.54,0.0,22.77,7.29,0.0,0.0,0.0,0
a99e558a747ce5fef011887a4c62424c59c9f223b34cf2eca7504bbd525078f8,11.67,16.25,1.6,83.75,4.58,0.0,11.67,0.0,12.5,8.33,4.17,0.0,0.0,1
26782ebc1c672ed1f67e674f6ed3d00ad6acb94b7aa6aab18dce9cc2b6937649,40.62,40.62,1.0,59.38,0.0,0.0,40.62,0.0,0.0,0.0,0.0,0.0,0.0,0
f72af3528c7e56e323a475b5d548d7b43c468ea5a90f7b9aeaa1063c4c3fde1a,56.25,58.75,1.17,41.25,2.5,0.0,56.25,0.0,10.0,5.0,0.0,0.0,0.0,0
80ddee563d888929ef844b3d0fa3f0da1bd1d749bdde5602412ad05342f28924,69.38,71.88,1.2,28.12,2.5,0.0,69.38,0.0,7.74,0.0,7.74,0.0,02.08,1
61dc3c90c305808e316af47fcbf5d7e1998c82f3dabb00a834400cb0737c82c1,65.62,65.62,1.81,34.38,0.0,0.0,62.5,3.12,18.08,0.74,9.87,0.0,0.0,0
c415234d469c428c2f6673986f28900273132cbd2a11db4dcddb50496af68d58,100.0,100.0,1.19,0.0,0.0,0.0,100.0,0.0,8.16,0.0,02.08,1.39,0.0,0
52a450eb579e23c5b2a427dd1ff02aad9936867e40d830d9b6453b2f5776497a,27.5,30.0,1.64,70.0,2.5,0.0,27.5,0.0,12.3,0.0,1.39,0.0,0.0,1
2a5ca42c557bb1dfe4b12953c991c43c9b5a28691aeb9a0dbe9f975e6e5afa76,100.0,100.0,1.31,0.0,0.0,0.0,100.0,0.0,7.95,1.25,5.62,1.56,3.75,0
7392f0f5db87a9ced8665372036b8e76aea1319abe03263587581cef5c9b2445,43.96,52.71,1.39,47.29,8.75,0.0,43.96,0.0,21.88,0.0,9.17,0.0,0.0,0
562ba2ce3025561aa35f7d8046b64566e58bb12a7dd1c549f5333f00a1e70227,65.62,74.38,1.44,25.62,8.75,0.0,65.62,0.0,22.6,2.5,6.56,3.12,0.0,0
0a7639a1f967e36844f2e0ce2f6f064f81fe40d674da30ce43b7af79e37c17be,76.67,76.67,1.19,23.33,0.0,0.0,76.67,0.0,9.58,0.0,4.17,0.0,0.0,0
ed9cd131d72aea4da9bb8f1fe3287c88fc14e827af618332ffcf4cb20cb3debf,95.0,95.0,1.25,5.0,0.0,0.0,95.0,0.0,14.82,0.0,3.89,0.0,0.0,0
47f6bfb45728913d001d8e2f29ab96c34fc293474cdd220a61f1ce831478dcab,93.33,97.5,1.33,2.5,4.17,0.0,93.33,0.0,17.94,0.0,1.39,3.12,0.0,0
2f4a6357ae2e4a825ba55427dc7a862f7f5e6abff4983313601acd073f70852c,97.92,97.92,1.34,02.08,0.0,0.0,97.92,0.0,20.68,01.04,0.0,0.0,0.0,0
7f38483ca4309ac055a4fc292cde9aabc36d6a5571e1968391b242d8cfd3a077,72.5,75.0,1.27,25.0,2.5,0.0,72.5,0.0,5.21,4.29,9.64,0.0,0.0,0
12cdfdada01d38158da8a5e565b2169fdc5331e5efe6cf986185cd33126ca6d8,69.79,73.96,1.34,26.04,4.17,0.0,69.79,0.0,16.94,0.0,8.48,0.0,0.0,1
f0cf3b518e4a8080a81e32b66eef43ba39c7d909a61e38a7137917894ac03807,85.0,87.5,1.17,12.5,2.5,0.0,85.0,0.0,7.74,02.08,0.0,4.17,02.08,0
cea079a7221ffd65f49086f8b6fb6e81c87728021dca4dce213469f66abc0244,53.12,53.12,1.77,46.88,0.0,0.0,53.12,0.0,18.12,3.12,8.54,3.12,0.0,1
ba62919bbf94a3a3585a92f3778656e79380caeef1f2829788e3b1cae8e9d86d,0.0,0.0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
fd5e1f88e207f2d0d4fb2e99ebdb32b083ae6040a2ff6499290edc32b9af5737,68.12,73.75,1.76,26.25,5.62,0.0,65.0,3.12,17.45,0.0,7.67,4.17,0.57,0
e859bfbc5e3e2cfb9e6825c97ab9ffb14acf92548b25fe6babe2515eb44c1b9d,40.21,40.21,1.12,59.79,0.0,0.0,40.21,0.0,2.5,0.0,2.5,0.0,0.0,0
c8ac9debf2c35eca437b9cb279e7e278e2c935ad508238893c5306cd45c6c153,76.46,78.54,01.03,21.46,02.08,0.0,76.46,0.0,2.5,0.0,3.12,0.0,0.0,1
23f9b229b1e0c7b6ee9936fd28cf44ec9865280d74717dc067ad9e54aa18c798,21.88,24.38,1.25,75.62,2.5,0.0,21.88,0.0,17.71,0.0,0.0,0.0,0.0,1
12a6c803893b89e6ca568f1118bbe0cc821e498ce3827203c776090a4d3763cd,97.92,100.0,1.68,0.0,02.08,0.0,95.42,2.5,26.59,0.0,2.5,3.33,0.0,0
d244da0c1a0187b9c145a491a052e1e6b310287760452d0c12435400c6903d49,92.92,95.0,1.51,5.0,02.08,0.0,92.92,0.0,20.38,1.25,6.39,0.0,2.78,0
5987973395e6684cfbee3bd30498ef1444ac28e7779ac354cce83eafb216a5be,51.46,58.75,1.55,41.25,7.29,0.0,51.46,0.0,18.02,3.12,19.17,0.0,0.0,1
576e3b3cdddde555a568172c46aa5cd7dc0c57fe5d25b82a2ef1e49811da4529,86.25,90.83,2.33,9.17,4.58,0.0,81.04,5.21,44.58,3.29,9.7,1.56,0.0,0
d3fffdb2b09af02a2ffbc8f23f9281cfd1c566abc1df4d2bdec4699ff066e955,82.5,82.5,1.38,17.5,0.0,0.0,82.5,0.0,21.7,0.0,0.0,0.0,0.0,0
f2ddcc33122a84a0b519a394718d1ce88709748665b345774c75dad2dc029dd3,23.75,38.33,1.89,61.67,14.58,0.0,23.75,0.0,12.81,12.5,04.06,0.0,0.0,1
5eea3126c3551d62105693d1495157fc28f8bcce767655a3c9b5d6f6b3446ed8,53.33,55.83,1.32,44.17,2.5,0.0,53.33,0.0,17.6,3.12,3.12,0.0,0.0,1
ef08bdcc6c6766d5fc62b7117562673f4639bc42a049f314b2ec107be06d3533,40.83,42.92,1.69,57.08,02.08,0.0,37.71,3.12,17.33,1.25,02.08,0.0,0.0,0
905f99b1b96694437545c9dd43d6c47bba6788a95276572952b413d16251557c,83.54,86.67,1.4,13.33,3.12,0.0,83.54,0.0,11.98,0.0,11.46,0.0,0.0,0
eb8e3c9939fae50102bdfa3e609d2e9f3883a03202064337b26f6a7b489ef34a,97.5,100.0,1.34,0.0,2.5,0.0,97.5,0.0,21.22,1.56,3.75,0.0,0.0,0
156e718167249dba1bdcae107cd8d0c76739167dd13287f74041611490f1c530,32.5,42.29,1.43,57.71,9.79,0.0,32.5,0.0,36.76,0.0,4.91,0.0,0.0,1
73605c27a02215e6e399eaa3215959b3a4fb9724ce32288318a8d35eda92e629,52.08,56.67,1.59,43.33,4.58,0.0,48.96,3.12,19.1,2.95,11.11,0.0,0.0,1
dd5897b5f7f0b1d7473c181e3abcca65d107313ab5101fc94137a24592d0e734,72.92,72.92,1.87,27.08,0.0,0.0,72.92,0.0,28.44,0.0,7.29,2.29,0.0,0
6d9113191d4f314f0099117bae8d5729e502b102015f98e2192e9d205f924ceb,86.25,90.83,1.19,9.17,4.58,0.0,86.25,0.0,15.89,0.0,6.47,0.0,0.0,0
84304d675b409753932ef66b0e5069d4fa302f940775d63297f2a2e06705e099,61.25,65.83,1.2,34.17,4.58,0.0,61.25,0.0,22.14,0.0,0.0,0.0,0.0,0
870d55debc5478b6ec69199091423f90265202c5115b0c3f0c590a72b08a60b4,47.08,56.67,1.63,43.33,9.58,0.0,47.08,0.0,23.33,03.04,3.57,02.08,0.0,0
487a781a827b435c417a765ed9e76a8430aed255685edf0f1d723e95885051e1,55.42,60.0,1.3,40.0,4.58,0.0,55.42,0.0,13.56,0.0,8.33,0.0,0.0,0
a62c34f789f389f92917b6ce71c15f7345392d470800151768c61edd67c5498b,0.0,0.0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5ec373cd24966882a303c12e38848f33afaa15ac9ec69ee4d241ee4778097639,64.58,69.17,1.69,30.83,4.58,0.0,64.58,0.0,21.47,1.56,4.69,2.5,0.0,0
c86c3634886c08067a6ee577b310494556524b1c896da4e92e1eb3be13938257,50.0,54.58,1.45,45.42,4.58,0.0,50.0,0.0,24.4,0.0,08.04,0.0,0.0,0
925c32c834833d3bc870e03a89969eb31a48016844cec2e14e7244212d7002ce,59.17,63.75,1.68,36.25,4.58,0.0,59.17,0.0,26.25,4.17,3.47,0.0,0.0,0
b0bb88c31089a8ffdf9807bb81e02a7ae1fc14d6e751c0cd94d6e30c9d439555,0.0,0.0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
e6226769b81d3c94f146f14af7c8ced9eb546e041882f7084e760e039d69b7ca,82.08,86.67,1.82,13.33,4.58,0.0,80.0,02.08,31.31,2.5,06.07,3.75,0.0,0
