matricula_hash,contest,Porcentagem media de problemas aceitos por contest,Porcentagem media de problemas que tiveram alguma tentativa por contest,Media do numero de submissoes em problemas aceitos,Porcentagem media de problemas sem submissoes por contest,Porcentagem media de problemas que tiveram poucas tentativas e nao foram aceitos por contest,Porcentagem media de problemas que tiveram muitas tentativas e nao foram aceitos por contest,Porcentagem media de problemas que tiveram poucas tentativas e foram aceitos por contest,Porcentagem media de problemas que tiveram muitas tentativas e foram aceitos por contest,Porcentagem media de submissoes como 'Wrong Answer' por contest,Porcentagem media de submissoes como 'Compilation Error' por contest,Porcentagem media de submissoes como 'Presentation Error' por contest,Porcentagem media de submissoes como 'Runtime Error' por contest,Porcentagem media de submissoes como 'Time Limit Exceeded' por contest,Reprovado
614447fba42b4e35beafd23d5178cca06d46fd25319783ed3971af63974d5535,1,0.0,0.0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6ac528ae4b4ee8a80c44d15b14f05801501680f39ab135751e1b3579623340d3,1,0.0,0.0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9f0c6bf85adb02210f5737b8f40ee5576cfa62e5532171c5cd0d984d9b08fc37,1,100.0,100.0,1.2,0.0,0.0,0.0,100.0,0.0,16.67,0.0,0.0,0.0,0.0,0
77b769f4152f2df44e02e232b83af98b13c66d54885fce9343b4ef82a011c20f,1,60.0,80.0,3.67,20.0,20.0,0.0,60.0,0.0,50.0,8.33,0.0,8.33,0.0,0
46993a895c360e78be1a7a1425272cf3265cadb6c43f33d93417ab11a160a0db,1,40.0,60.0,1.5,40.0,20.0,0.0,40.0,0.0,0.0,25.0,0.0,25.0,0.0,0
58f8b6cd44b64da67ee28cd6b969117b00ec4959245040b43628ccf2ddf0bfe7,1,60.0,100.0,1.0,0.0,40.0,0.0,60.0,0.0,50.0,0.0,0.0,0.0,0.0,1
2d64763640fa149bf269b6b244fec1a4bc3e47a35f7ce92ece8c4e8bbb6a86aa,1,80.0,100.0,2.0,0.0,20.0,0.0,80.0,0.0,44.44,0.0,0.0,0.0,0.0,0
5b3813c84057042da8ce50651fcf7a3bc162e105d8a5970fc8c750f9a82d0351,1,40.0,60.0,1.0,40.0,20.0,0.0,40.0,0.0,33.33,0.0,0.0,0.0,0.0,1
fb16d50f3354aada35e56035ca01dbcc7f634a748550f79cf986dff55309bed1,1,20.0,40.0,1.0,60.0,20.0,0.0,20.0,0.0,0.0,0.0,66.67,0.0,0.0,0
cf21a02c0fceaedee9ede7a20134751528e6dfd7d1375867b110a1201916d21b,1,100.0,100.0,2.0,0.0,0.0,0.0,100.0,0.0,30.0,0.0,10.0,0.0,0.0,0
