matricula_hash,contest,Porcentagem media de problemas aceitos por contest,Porcentagem media de problemas que tiveram alguma tentativa por contest,Media do numero de submissoes em problemas aceitos,Porcentagem media de problemas sem submissoes por contest,Porcentagem media de problemas que tiveram poucas tentativas e nao foram aceitos por contest,Porcentagem media de problemas que tiveram muitas tentativas e nao foram aceitos por contest,Porcentagem media de problemas que tiveram poucas tentativas e foram aceitos por contest,Porcentagem media de problemas que tiveram muitas tentativas e foram aceitos por contest,Porcentagem media de submissoes como 'Wrong Answer' por contest,Porcentagem media de submissoes como 'Compilation Error' por contest,Porcentagem media de submissoes como 'Presentation Error' por contest,Porcentagem media de submissoes como 'Runtime Error' por contest,Porcentagem media de submissoes como 'Time Limit Exceeded' por contest,Reprovado
4b4c712272fdfd4bb1669e3304a566a3a155c569072a285d37c2226f6200e373,1,100.0,100.0,1.2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,16.67,0.0,0.0,0
c5fc337975b5f2e8ed9bbc54f3044d910dd9dc99c7e60b407c21649f75cca4db,1,100.0,100.0,2.4,0.0,0.0,0.0,100.0,0.0,33.33,8.33,16.67,0.0,0.0,0
6dd6376c0367a27ea2d5a6f8e2d0d16c883c22cd98da638c797d1ad4bcce4511,1,100.0,100.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0
f621c0eeb35734e30f155a372de1b2dc4ab79cdf8f11598dac4e28995c31e343,1,100.0,100.0,1.2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,16.67,0.0,0.0,0
58f8b6cd44b64da67ee28cd6b969117b00ec4959245040b43628ccf2ddf0bfe7,1,100.0,100.0,1.2,0.0,0.0,0.0,100.0,0.0,16.67,0.0,0.0,0.0,0.0,0
d35b896314b571340fc5c6ffacd4472bb48feb9f3d902b0334fbf1b35ae202bc,1,60.0,80.0,1.67,20.0,20.0,0.0,60.0,0.0,50.0,0.0,0.0,0.0,0.0,1
2d64763640fa149bf269b6b244fec1a4bc3e47a35f7ce92ece8c4e8bbb6a86aa,1,100.0,100.0,2.6,0.0,0.0,0.0,100.0,0.0,46.15,15.38,0.0,0.0,0.0,1
80ddee563d888929ef844b3d0fa3f0da1bd1d749bdde5602412ad05342f28924,1,80.0,100.0,1.0,0.0,20.0,0.0,80.0,0.0,42.86,0.0,0.0,0.0,0.0,1
0eb59c8f3d8d0ac24d0825e89f912ce51c8302b587b4374449637cdbcfee8bec,1,100.0,100.0,1.2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,16.67,0.0,0
179505be83c5d43e613612d30dee5aef4a1baedcec2c1d65f019fd407b4544ed,1,0.0,60.0,0,40.0,60.0,0.0,0.0,0.0,40.0,0.0,60.0,0.0,0.0,0
91c7c1e0e3f558f0d3044317f72a844e5bc1d040bfe7786a43aae231fa565f10,1,100.0,100.0,1.6,0.0,0.0,0.0,100.0,0.0,37.5,0.0,0.0,0.0,0.0,0
e71041734a5b5c7e2fcc6de1a3e0101ababf7612f9a39fb2140fbf92df45ffad,1,80.0,80.0,1.25,20.0,0.0,0.0,80.0,0.0,20.0,0.0,0.0,0.0,0.0,0
aadff4c585348216867279fbcb858488ee0e68e5c6588ea2d19254e76412e494,1,100.0,100.0,1.6,0.0,0.0,0.0,100.0,0.0,37.5,0.0,0.0,0.0,0.0,0
e4418ee2f2727b04fdd7b3c3c81a2b5081b34d53f4ed9a05968305d6ef2e3989,1,100.0,100.0,1.2,0.0,0.0,0.0,100.0,0.0,16.67,0.0,0.0,0.0,0.0,1
17e890e8fa3aef49eaf7e14754b79d404934602ea58a17e55922965805676574,1,0.0,0.0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
b113894a35e62e28fcd7bea73923b6221382f271a2f1b4b72b91fb706adce9de,1,0.0,0.0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
16ded72dcbd9c76308c9827fe7ae562344cb75e406a4324b0974705949f778bf,1,100.0,100.0,2.6,0.0,0.0,0.0,80.0,20.0,61.54,0.0,0.0,0.0,0.0,0
0bd6c25873ac6ed984c89f17e3c53c4a975abf5ded12ccc51b38bb4f986e15e4,1,0.0,20.0,0,80.0,20.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1
58b5141d17764ff9b3ef9beebe63949594ee7be06378ed510d3dda37b8843592,1,80.0,100.0,1.0,0.0,20.0,0.0,80.0,0.0,42.86,0.0,0.0,0.0,0.0,1
9af6c218c29b9ed37384972a5e23be12d9689674555b3792f9942f2d0a0011f2,1,100.0,100.0,2.4,0.0,0.0,0.0,100.0,0.0,25.0,0.0,16.67,8.33,0.0,0
7a86b77a40cf77a1529d532b0da25d60b050b49d8dbde511c746879079ce619b,1,100.0,100.0,1.4,0.0,0.0,0.0,100.0,0.0,14.29,0.0,0.0,14.29,0.0,0
1485b907fca54bdc491b2c614b87c56811d514e19168bfba7ce1e54dbfd77ffc,1,100.0,100.0,1.4,0.0,0.0,0.0,100.0,0.0,14.29,0.0,14.29,0.0,0.0,0
1198170e8bad0e672173300a23a6f09feaea6e1694262475062429c810433c47,1,0.0,20.0,0,80.0,20.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1
12cdfdada01d38158da8a5e565b2169fdc5331e5efe6cf986185cd33126ca6d8,1,0.0,0.0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
