matricula_hash,Porcentagem media de problemas aceitos por contest,Porcentagem media de problemas que tiveram alguma tentativa por contest,Media do numero de submissoes em problemas aceitos,Porcentagem media de problemas sem submissoes por contest,Porcentagem media de problemas que tiveram poucas tentativas e nao foram aceitos por contest,Porcentagem media de problemas que tiveram muitas tentativas e nao foram aceitos por contest,Porcentagem media de problemas que tiveram poucas tentativas e foram aceitos por contest,Porcentagem media de problemas que tiveram muitas tentativas e foram aceitos por contest,Porcentagem media de submissoes como 'Wrong Answer' por contest,Porcentagem media de submissoes como 'Compilation Error' por contest,Porcentagem media de submissoes como 'Presentation Error' por contest,Porcentagem media de submissoes como 'Runtime Error' por contest,Porcentagem media de submissoes como 'Time Limit Exceeded' por contest,Reprovado
45506b207b431123881a951e690275d5310fa4967519b981849d7609f5509e03,53.81,56.9,1.83,43.1,3.1,0.0,53.81,0.0,31.48,0.0,3.5,0.0,1.43,0
54e9cd228a0a3e4f7416c50c32fbdb090a4f5b771eb6ad56adc91ccc6c2477e1,82.67,88.0,1.54,12.0,5.33,0.0,82.67,0.0,18.65,0.0,1.67,7.86,0.0,0
876704efd4073d369618d81e7d687236ff386106d1a51fcaad6d0a4944d5662a,71.4,73.41,1.62,26.6,2.0,0.0,71.41,0.0,30.43,0.0,2.5,1.43,0.0,0
71cdd2451208520d6fc0c93383be0bd341bc11d3307470e0cca5855b15bbb0fd,73.71,88.48,2.22,11.52,14.76,0.0,67.88,5.83,52.0,0.77,4.86,1.67,0.0,0
ef85ae636a77b1e1b2579bfa5b098d63b5ec0b012b69680ab8a778e01712887e,51.24,54.57,1.72,45.43,3.33,0.0,51.24,0.0,22.3,3.65,10.24,0.0,0.0,0
8a47830a151b0896ecd61b48ff91e24a8ab274c75ce762709d9f047024fd19df,18.52,26.38,1.33,73.62,7.86,0.0,18.52,0.0,15.0,3.25,5.0,0.0,0.0,1
9d37538a93fd031e2ab6caedebd9d57a09ad5771d6e558ec8313754fc68b87fe,66.38,69.48,1.39,30.52,3.1,0.0,66.38,0.0,20.0,0.0,4.5,0.0,0.0,0
ff79985b0ae07115f540c9631493b3615e65fef7b4ac30a1af654433fd17d36b,34.5,37.83,1.39,62.17,3.33,0.0,34.5,0.0,10.33,10.0,1.0,0.0,0.0,1
af83debb674c7ad0c8a18ced68b9cebc24116cc43170ab88a8e8aac803af0e09,0.0,0.0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5aabcc72bb3cef7afa9a7b81ceefc0a8c54ae6911b2113a5319992f2f1464f78,64.4,70.83,1.5,29.17,6.43,0.0,64.4,0.0,27.45,1.43,3.43,4.0,0.0,0
7ae1144fa4836e80c9b4ceaaf4d5c076471cb0a5248bb2e7b9f67fbb9afbc423,31.36,42.55,1.93,57.45,11.19,0.0,31.36,0.0,45.7,1.76,0.0,0.0,0.0,1
70b4f025c2cda2adbf668fdde2e31727c23a2e53b360bd9ac5e44a61527d703d,53.98,57.31,1.92,42.69,0.0,3.33,52.55,1.43,21.51,4.44,5.06,0.0,0.0,0
d6380f88a9161f93e09a4882c1a5e607dfa02407b5d798a8e1f41a970e63c702,15.12,16.79,1.12,83.21,1.67,0.0,15.12,0.0,0.0,0.0,5.83,0.0,0.0,1
9bef86d568058d78d37a95c9b7f7a55c3c0a546e20f6ebce6881ce548ff2c00d,59.05,69.4,1.85,30.6,10.36,0.0,57.62,1.43,30.67,0.0,10.33,0.0,0.0,0
51345c18fa2cbc440131f71224f9b2bc81a7f6675a64d40db12756bceef6ad8f,42.5,45.83,1.71,54.17,3.33,0.0,40.0,2.5,22.52,0.0,6.43,1.43,0.0,0
a25ec9c9e5b5dd70e647355df34f126938fd8dd4ad13982032652926b11169ee,45.45,57.21,1.86,42.79,11.76,0.0,45.45,0.0,38.76,0.0,4.29,2.0,0.0,0
d5b10f05ed0aeeb25c610fb7d13887892baace66da1cd09db09eed1a3917f036,51.5,65.17,1.57,34.83,13.67,0.0,51.5,0.0,29.67,0.0,4.44,0.0,1.67,0
327f9e9384621e301d75d185534e1fc1ad0797916c33a81c957e28bcec534b9d,53.33,56.67,1.54,43.33,3.33,0.0,53.33,0.0,16.08,1.25,7.0,3.33,0.0,0
3e1d0a03caeaeaeb92384ed96389c1123e7177a0303fdd4db66185f169b6a754,41.14,54.0,1.58,46.0,12.86,0.0,41.14,0.0,28.64,0.0,5.42,0.0,0.0,0
ce652988f167b7452fd494b61c136276b381063265a48a70ec9d56087559699c,51.0,52.67,1.55,47.33,1.67,0.0,51.0,0.0,12.86,5.83,3.93,0.0,0.0,0
11a5327006ae74d6d626ae11682159b2ddec2b35f06c1e5cb8f6af71d62b6150,47.4,50.74,1.26,49.26,3.33,0.0,47.4,0.0,12.06,3.33,2.22,0.0,0.0,1
f857f87e1c311fc76a1810f403624408950ac58bd4ed5a1815e6390d8217ee0b,8.45,12.62,2.0,87.38,4.17,0.0,8.45,0.0,16.79,1.43,0.0,0.0,0.0,1
dc289e0f247b92979f43a6c9de1d662865e5402310df42988e3f55808d8a6feb,72.17,84.17,2.54,15.83,5.33,6.67,68.83,3.33,41.83,3.33,6.75,2.0,0.67,0
b589c71216ccecda16a5c0dce51e6b383cd3be82842253fa3f1a97dceca8104a,68.14,73.48,1.87,26.52,5.33,0.0,66.71,1.43,12.95,1.3,7.27,6.67,0.0,0
f03b900a94f9e7886b2d0d62aabf77212f3538d18c0ec50c3ae3a269a22f2c45,93.33,95.0,1.54,5.0,1.67,0.0,91.91,1.43,20.68,2.22,4.03,0.0,1.11,0
18460b59bff0fd2ea6a074d5533a7d7052618f8d2b9bcf49dcc38ad0c3641030,0.0,6.67,0,93.33,6.67,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,1
f0f5e7264ccf185f69867882f343b21fb76c875432032f94783a62b75c7f06d8,0.0,0.0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
bea1fd598b044294e94c08fb6ba66c880547527b0fca4c98433ea5c5255b6486,6.39,9.86,2.75,90.14,3.47,0.0,4.72,1.67,12.5,5.83,0.0,0.0,0.0,1
