matricula_hash,Porcentagem media de problemas aceitos por contest,Porcentagem media de problemas que tiveram alguma tentativa por contest,Media do numero de submissoes em problemas aceitos,Porcentagem media de problemas sem submissoes por contest,Porcentagem media de problemas que tiveram poucas tentativas e nao foram aceitos por contest,Porcentagem media de problemas que tiveram muitas tentativas e nao foram aceitos por contest,Porcentagem media de problemas que tiveram poucas tentativas e foram aceitos por contest,Porcentagem media de problemas que tiveram muitas tentativas e foram aceitos por contest,Porcentagem media de submissoes como 'Wrong Answer' por contest,Porcentagem media de submissoes como 'Compilation Error' por contest,Porcentagem media de submissoes como 'Presentation Error' por contest,Porcentagem media de submissoes como 'Runtime Error' por contest,Porcentagem media de submissoes como 'Time Limit Exceeded' por contest,Reprovado
04f8c56be30fd358ec525041df9f3c4b734875c5cf86ed109fbcf2c3fce6344a,93.33,93.33,1.47,6.67,0.0,0.0,93.33,0.0,17.5,0.0,8.33,0.0,0.0,0
0cb5004a50336e2f3e167850f4b4b478a85246cd7d4e939ddf20f2b84eeb9442,68.89,68.89,1.73,31.11,0.0,0.0,68.89,0.0,32.54,4.76,5.56,0.0,0.0,1
e0bfa51e9f7256faebd1af0d822ce236b166b8e42c493f309631f3eb592a080a,55.56,55.56,1.33,44.44,0.0,0.0,55.56,0.0,4.76,0.0,0.0,9.52,0.0,1
30e93783cf0c28c3387ab9a587ae3f4ff291dee67233d136d260402a148f7d0d,52.22,68.89,1.62,31.11,16.67,0.0,52.22,0.0,16.67,26.39,5.56,0.0,0.0,0
5ee3d8417e9f985153a72e2ea027d21b79790d8201fef64319d797afe58f0f1a,62.22,74.44,1.4,25.56,12.22,0.0,62.22,0.0,21.94,0.0,15.28,4.17,0.0,0
350dcc0338f19b755b231c943ac21f9f31828b95a71fa81adc038fffe392ca39,94.44,100.0,1.67,0.0,5.56,0.0,94.44,0.0,35.71,0.0,0.0,0.0,0.0,0
3d36dc3d25993df3aa3bcf16cfe502f591aae7191d09dfb9d64fa84906eca33c,75.56,75.56,1.42,24.44,0.0,0.0,75.56,0.0,23.33,0.0,4.17,0.0,0.0,1
ea5259a36fd73abe3a060e7a41df7cf13e9801e9e20bb4ea0046a52463c91496,100.0,100.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0
a85b0a2687836c98f677848f7ae1ec0686d060e837bd5cc86c538d82b4dcbecb,51.11,56.67,1.25,43.33,5.56,0.0,51.11,0.0,11.11,19.44,0.0,0.0,0.0,0
a99e558a747ce5fef011887a4c62424c59c9f223b34cf2eca7504bbd525078f8,18.89,31.11,1.33,68.89,12.22,0.0,18.89,0.0,22.22,11.11,11.11,0.0,0.0,1
26782ebc1c672ed1f67e674f6ed3d00ad6acb94b7aa6aab18dce9cc2b6937649,35.56,35.56,1.0,64.44,0.0,0.0,35.56,0.0,0.0,0.0,0.0,0.0,0.0,0
f72af3528c7e56e323a475b5d548d7b43c468ea5a90f7b9aeaa1063c4c3fde1a,68.89,68.89,1.18,31.11,0.0,0.0,68.89,0.0,6.67,6.67,0.0,0.0,0.0,0
80ddee563d888929ef844b3d0fa3f0da1bd1d749bdde5602412ad05342f28924,100.0,100.0,1.12,0.0,0.0,0.0,100.0,0.0,0.0,0.0,4.76,0.0,5.56,1
61dc3c90c305808e316af47fcbf5d7e1998c82f3dabb00a834400cb0737c82c1,70.0,70.0,1.36,30.0,0.0,0.0,70.0,0.0,26.19,0.0,0.0,0.0,0.0,0
c415234d469c428c2f6673986f28900273132cbd2a11db4dcddb50496af68d58,100.0,100.0,1.25,0.0,0.0,0.0,100.0,0.0,18.06,0.0,0.0,0.0,0.0,0
52a450eb579e23c5b2a427dd1ff02aad9936867e40d830d9b6453b2f5776497a,46.67,53.33,1.57,46.67,6.67,0.0,46.67,0.0,18.52,0.0,3.7,0.0,0.0,1
2a5ca42c557bb1dfe4b12953c991c43c9b5a28691aeb9a0dbe9f975e6e5afa76,100.0,100.0,1.44,0.0,0.0,0.0,100.0,0.0,12.86,3.33,0.0,0.0,10.0,0
7392f0f5db87a9ced8665372036b8e76aea1319abe03263587581cef5c9b2445,36.67,47.78,1.33,52.22,11.11,0.0,36.67,0.0,27.38,0.0,0.0,0.0,0.0,0
562ba2ce3025561aa35f7d8046b64566e58bb12a7dd1c549f5333f00a1e70227,75.56,93.33,1.58,6.67,17.78,0.0,75.56,0.0,40.28,0.0,4.17,0.0,0.0,0
0a7639a1f967e36844f2e0ce2f6f064f81fe40d674da30ce43b7af79e37c17be,100.0,100.0,01.06,0.0,0.0,0.0,100.0,0.0,0.0,0.0,5.56,0.0,0.0,0
ed9cd131d72aea4da9bb8f1fe3287c88fc14e827af618332ffcf4cb20cb3debf,100.0,100.0,1.12,0.0,0.0,0.0,100.0,0.0,10.32,0.0,0.0,0.0,0.0,0
47f6bfb45728913d001d8e2f29ab96c34fc293474cdd220a61f1ce831478dcab,100.0,100.0,1.56,0.0,0.0,0.0,100.0,0.0,27.47,0.0,0.0,0.0,0.0,0
2f4a6357ae2e4a825ba55427dc7a862f7f5e6abff4983313601acd073f70852c,100.0,100.0,1.5,0.0,0.0,0.0,100.0,0.0,23.41,2.78,0.0,0.0,0.0,0
7f38483ca4309ac055a4fc292cde9aabc36d6a5571e1968391b242d8cfd3a077,75.56,82.22,01.08,17.78,6.67,0.0,75.56,0.0,13.89,0.0,0.0,0.0,0.0,0
12cdfdada01d38158da8a5e565b2169fdc5331e5efe6cf986185cd33126ca6d8,87.78,93.33,1.36,6.67,5.56,0.0,87.78,0.0,23.74,0.0,0.0,0.0,0.0,1
f0cf3b518e4a8080a81e32b66eef43ba39c7d909a61e38a7137917894ac03807,100.0,100.0,1.19,0.0,0.0,0.0,100.0,0.0,15.87,0.0,0.0,0.0,0.0,0
cea079a7221ffd65f49086f8b6fb6e81c87728021dca4dce213469f66abc0244,62.22,62.22,2.0,37.78,0.0,0.0,62.22,0.0,19.44,8.33,2.78,0.0,0.0,1
ba62919bbf94a3a3585a92f3778656e79380caeef1f2829788e3b1cae8e9d86d,0.0,0.0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
fd5e1f88e207f2d0d4fb2e99ebdb32b083ae6040a2ff6499290edc32b9af5737,86.67,86.67,1.14,13.33,0.0,0.0,86.67,0.0,5.56,0.0,8.33,0.0,0.0,0
e859bfbc5e3e2cfb9e6825c97ab9ffb14acf92548b25fe6babe2515eb44c1b9d,44.44,44.44,1.0,55.56,0.0,0.0,44.44,0.0,0.0,0.0,0.0,0.0,0.0,0
c8ac9debf2c35eca437b9cb279e7e278e2c935ad508238893c5306cd45c6c153,93.33,93.33,1.0,6.67,0.0,0.0,93.33,0.0,0.0,0.0,0.0,0.0,0.0,1
23f9b229b1e0c7b6ee9936fd28cf44ec9865280d74717dc067ad9e54aa18c798,33.33,33.33,1.2,66.67,0.0,0.0,33.33,0.0,5.56,0.0,0.0,0.0,0.0,1
12a6c803893b89e6ca568f1118bbe0cc821e498ce3827203c776090a4d3763cd,100.0,100.0,1.94,0.0,0.0,0.0,93.33,6.67,38.41,0.0,2.22,0.0,0.0,0
d244da0c1a0187b9c145a491a052e1e6b310287760452d0c12435400c6903d49,100.0,100.0,1.44,0.0,0.0,0.0,100.0,0.0,19.44,0.0,0.0,0.0,0.0,0
5987973395e6684cfbee3bd30498ef1444ac28e7779ac354cce83eafb216a5be,75.56,75.56,1.33,24.44,0.0,0.0,75.56,0.0,10.83,8.33,0.0,0.0,0.0,1
576e3b3cdddde555a568172c46aa5cd7dc0c57fe5d25b82a2ef1e49811da4529,100.0,100.0,2.81,0.0,0.0,0.0,94.44,5.56,45.43,4.62,12.45,0.0,0.0,0
d3fffdb2b09af02a2ffbc8f23f9281cfd1c566abc1df4d2bdec4699ff066e955,100.0,100.0,1.31,0.0,0.0,0.0,100.0,0.0,17.86,0.0,0.0,0.0,0.0,0
f2ddcc33122a84a0b519a394718d1ce88709748665b345774c75dad2dc029dd3,0.0,0.0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5eea3126c3551d62105693d1495157fc28f8bcce767655a3c9b5d6f6b3446ed8,70.0,70.0,01.09,30.0,0.0,0.0,70.0,0.0,8.33,0.0,0.0,0.0,0.0,1
ef08bdcc6c6766d5fc62b7117562673f4639bc42a049f314b2ec107be06d3533,55.56,61.11,1.33,38.89,5.56,0.0,55.56,0.0,16.67,3.33,5.56,0.0,0.0,0
905f99b1b96694437545c9dd43d6c47bba6788a95276572952b413d16251557c,100.0,100.0,1.56,0.0,0.0,0.0,100.0,0.0,26.39,0.0,2.78,0.0,0.0,0
eb8e3c9939fae50102bdfa3e609d2e9f3883a03202064337b26f6a7b489ef34a,100.0,100.0,1.56,0.0,0.0,0.0,100.0,0.0,26.43,4.17,3.33,0.0,0.0,0
156e718167249dba1bdcae107cd8d0c76739167dd13287f74041611490f1c530,57.78,68.89,1.56,31.11,11.11,0.0,57.78,0.0,36.9,0.0,13.1,0.0,0.0,1
73605c27a02215e6e399eaa3215959b3a4fb9724ce32288318a8d35eda92e629,70.0,75.56,1.18,24.44,5.56,0.0,70.0,0.0,16.67,0.0,0.0,0.0,0.0,1
dd5897b5f7f0b1d7473c181e3abcca65d107313ab5101fc94137a24592d0e734,66.67,66.67,1.91,33.33,0.0,0.0,66.67,0.0,25.0,0.0,2.78,2.78,0.0,0
6d9113191d4f314f0099117bae8d5729e502b102015f98e2192e9d205f924ceb,100.0,100.0,01.06,0.0,0.0,0.0,100.0,0.0,5.56,0.0,0.0,0.0,0.0,0
84304d675b409753932ef66b0e5069d4fa302f940775d63297f2a2e06705e099,56.67,68.89,1.22,31.11,12.22,0.0,56.67,0.0,35.71,0.0,0.0,0.0,0.0,0
870d55debc5478b6ec69199091423f90265202c5115b0c3f0c590a72b08a60b4,62.22,74.44,1.8,25.56,12.22,0.0,62.22,0.0,32.86,8.1,9.52,0.0,0.0,0
487a781a827b435c417a765ed9e76a8430aed255685edf0f1d723e95885051e1,66.67,66.67,1.36,33.33,0.0,0.0,66.67,0.0,17.26,0.0,0.0,0.0,0.0,0
a62c34f789f389f92917b6ce71c15f7345392d470800151768c61edd67c5498b,0.0,0.0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5ec373cd24966882a303c12e38848f33afaa15ac9ec69ee4d241ee4778097639,70.0,82.22,1.91,17.78,12.22,0.0,70.0,0.0,38.1,0.0,0.0,6.67,0.0,0
c86c3634886c08067a6ee577b310494556524b1c896da4e92e1eb3be13938257,64.44,64.44,1.3,35.56,0.0,0.0,64.44,0.0,8.33,0.0,16.67,0.0,0.0,0
925c32c834833d3bc870e03a89969eb31a48016844cec2e14e7244212d7002ce,35.56,47.78,1.67,52.22,12.22,0.0,35.56,0.0,22.22,11.11,3.7,0.0,0.0,0
b0bb88c31089a8ffdf9807bb81e02a7ae1fc14d6e751c0cd94d6e30c9d439555,0.0,0.0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
e6226769b81d3c94f146f14af7c8ced9eb546e041882f7084e760e039d69b7ca,100.0,100.0,1.94,0.0,0.0,0.0,94.44,5.56,32.38,0.0,9.52,3.33,0.0,0
