matricula_hash,contest,Porcentagem media de problemas aceitos por contest,Porcentagem media de problemas que tiveram alguma tentativa por contest,Media do numero de submissoes em problemas aceitos,Porcentagem media de problemas sem submissoes por contest,Porcentagem media de problemas que tiveram poucas tentativas e nao foram aceitos por contest,Porcentagem media de problemas que tiveram muitas tentativas e nao foram aceitos por contest,Porcentagem media de problemas que tiveram poucas tentativas e foram aceitos por contest,Porcentagem media de problemas que tiveram muitas tentativas e foram aceitos por contest,Porcentagem media de submissoes como 'Wrong Answer' por contest,Porcentagem media de submissoes como 'Compilation Error' por contest,Porcentagem media de submissoes como 'Presentation Error' por contest,Porcentagem media de submissoes como 'Runtime Error' por contest,Porcentagem media de submissoes como 'Time Limit Exceeded' por contest,Reprovado
f0f5e7264ccf185f69867882f343b21fb76c875432032f94783a62b75c7f06d8,1,0.0,0.0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
bea1fd598b044294e94c08fb6ba66c880547527b0fca4c98433ea5c5255b6486,1,0.0,0.0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0a6d27f42143da0f4255dee866b57c165ee2f5446cc6b0e8b346284e6961c0d7,1,100.0,100.0,1.2,0.0,0.0,0.0,100.0,0.0,16.67,0.0,0.0,0.0,0.0,0
8c1200ed8c1aa6119aa004f973d7151041b9635fbadf15947c0f040e96efdc13,1,100.0,100.0,1.8,0.0,0.0,0.0,100.0,0.0,0.0,11.11,33.33,0.0,0.0,0
7dbdab563e7e15aa95ac403a116a90f2e562da020bcfb2fb9272e5b60467b243,1,100.0,100.0,1.6,0.0,0.0,0.0,100.0,0.0,12.5,0.0,12.5,0.0,0.0,0
0cea6aeede252ac60167b0626adf2b05b7ae8127355c433ae34e30f4d699ef46,1,100.0,100.0,1.6,0.0,0.0,0.0,100.0,0.0,12.5,0.0,25.0,0.0,0.0,0
e6dff2507e2cded9b40679886cfb3d1efdf6c93e04429a15aa32bf7c42379014,1,80.0,80.0,4.25,20.0,0.0,0.0,60.0,20.0,52.94,0.0,5.88,0.0,0.0,1
52aca6821d84655184a01eea864739fdd027efa64e5d3dda746492a1d482592b,1,100.0,100.0,2.0,0.0,0.0,0.0,100.0,0.0,40.0,0.0,0.0,0.0,0.0,0
5d15b4c18169a969fb511d7c5e9500e4ee0d47f244f8f30bd161b382eb36ca3a,1,100.0,100.0,2.0,0.0,0.0,0.0,100.0,0.0,20.0,20.0,0.0,0.0,0.0,0
b62ab1a3cf13ed67703a0727ca2eddbadbac166ba79a660db16813f91c6ea703,1,60.0,60.0,4.0,40.0,0.0,0.0,60.0,0.0,41.67,16.67,16.67,0.0,0.0,1
871a769b73d78a5f7b08476bcfc74224cfbbc0484ac4245efbfe2629b451da70,1,100.0,100.0,1.4,0.0,0.0,0.0,100.0,0.0,14.29,14.29,0.0,0.0,0.0,0
c51d33a9e820fbb60a3550668e8d4905dab86d596809bf7feb2f572b3c90f458,1,100.0,100.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0
65c5cceeda572ac4df5da80727121a381c55b55ecf23c2540c5c9e9bd56a6deb,1,100.0,100.0,1.6,0.0,0.0,0.0,100.0,0.0,37.5,0.0,0.0,0.0,0.0,0
c6226fb275c73f0679f124c7d0e7fc2811927d017d2398687f8ebb08706b739d,1,0.0,0.0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5f6d449c8d3031dca05469e64697092dd2e4dc4a19db4862541ddc0c63bad82c,1,100.0,100.0,1.4,0.0,0.0,0.0,100.0,0.0,28.57,0.0,0.0,0.0,0.0,1
1a1fcc78652119b699d463d980c28c912fe5706244aa67adf5b74c1415a40d1f,1,100.0,100.0,1.4,0.0,0.0,0.0,100.0,0.0,14.29,14.29,0.0,0.0,0.0,0
dbb58a782a8391f9362b61146ae301e107ef5d32fec11c4c80cb97a4c4f3b1fe,1,0.0,0.0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
09d3adadd62dc358676f46854c3cb1730a8dd1524912ed32875c2897cc305d3a,1,80.0,80.0,2.75,20.0,0.0,0.0,80.0,0.0,36.36,18.18,0.0,9.09,0.0,1
4466cd3c0ca55904f2c68b9f3ebb6e4b40278381e0e1ee75229e484a0987bc5b,1,60.0,80.0,1.0,20.0,20.0,0.0,60.0,0.0,20.0,0.0,20.0,0.0,0.0,1
bc79796c312cefba38d2fd2d91c107fa8c81c872409e33dc8a442c094d6ca812,1,80.0,100.0,2.25,0.0,20.0,0.0,80.0,0.0,36.36,9.09,9.09,0.0,0.0,1
284931b88b1830cebdb23f22400b7c8023a9708d56f799bd53c1615c1737ce76,1,100.0,100.0,1.4,0.0,0.0,0.0,100.0,0.0,28.57,0.0,0.0,0.0,0.0,0
f9a8a21c9b73c3208c045992075e9922943c4cb2be3965bb586c7f37969240fa,1,0.0,0.0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3487b84d699f3ca6391a8ece0ae258bff2425a632472b1e1f896afa53acb25ea,1,100.0,100.0,1.6,0.0,0.0,0.0,100.0,0.0,37.5,0.0,0.0,0.0,0.0,0
ed4fe17c8d3c7c92516468c9b2ff5d644b40f1d47b4bd3c0b74098d8c7f3eef6,1,40.0,60.0,5.0,40.0,20.0,0.0,20.0,20.0,15.38,69.23,0.0,0.0,0.0,1
de956d32073e8a75693409f5d8997fad974e5fe83ba5f248d9be5ca8b0b5b771,1,0.0,0.0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
26baa8c449c9aac1f9f0efd0e8373ac9799576cfe215c00334e6a7feda4c623d,1,100.0,100.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5884cecff1c8138fb57d9eef946cccaf2416ad50ecae4a8fbfc16e2d450ae284,1,100.0,100.0,1.4,0.0,0.0,0.0,100.0,0.0,28.57,0.0,0.0,0.0,0.0,0
582d8669894c2bac0eac1aa38a899cdaff4337a8ec165f517875eacf6f877a0c,1,100.0,100.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0
cb7e46e2372c92d66fafddf476198f7a89e40ae8a1d0d68a36a7827f3ff9ab5e,1,100.0,100.0,1.8,0.0,0.0,0.0,100.0,0.0,0.0,44.44,0.0,0.0,0.0,0
6a63f2f94d4948ffb1a3b321be09985cd651eb146bbffd86d3f2e379ddb26c2f,1,100.0,100.0,2.0,0.0,0.0,0.0,100.0,0.0,50.0,0.0,0.0,0.0,0.0,0
dc40698058c0dc42e15b7fdb861468a19f968e0ea6770b8c7543dcb5eb9ddc84,1,60.0,60.0,5.67,40.0,0.0,0.0,40.0,20.0,70.59,0.0,11.76,0.0,0.0,0
d8bfa7b98a53c17705aa5b8bdce4e3072af909a0f3b91da32ed1620bca2e1bdb,1,100.0,100.0,2.6,0.0,0.0,0.0,80.0,20.0,38.46,7.69,15.38,0.0,0.0,0
