matricula_hash,contest,Porcentagem media de problemas aceitos por contest,Porcentagem media de problemas que tiveram alguma tentativa por contest,Media do numero de submissoes em problemas aceitos,Porcentagem media de problemas sem submissoes por contest,Porcentagem media de problemas que tiveram poucas tentativas e nao foram aceitos por contest,Porcentagem media de problemas que tiveram muitas tentativas e nao foram aceitos por contest,Porcentagem media de problemas que tiveram poucas tentativas e foram aceitos por contest,Porcentagem media de problemas que tiveram muitas tentativas e foram aceitos por contest,Porcentagem media de submissoes como 'Wrong Answer' por contest,Porcentagem media de submissoes como 'Compilation Error' por contest,Porcentagem media de submissoes como 'Presentation Error' por contest,Porcentagem media de submissoes como 'Runtime Error' por contest,Porcentagem media de submissoes como 'Time Limit Exceeded' por contest,Reprovado
56ecd5ce0a68711a209d36d2ae2b29aa520fe5c12215166223eb7b6e05a7bc8c,1,14.29,42.86,2.0,57.14,28.57,0.0,14.29,0.0,87.5,0.0,0.0,0.0,0.0,0
45506b207b431123881a951e690275d5310fa4967519b981849d7609f5509e03,1,71.43,85.71,1.8,14.29,14.29,0.0,71.43,0.0,54.55,0.0,0.0,0.0,0.0,0
54e9cd228a0a3e4f7416c50c32fbdb090a4f5b771eb6ad56adc91ccc6c2477e1,1,100.0,100.0,2.0,0.0,0.0,0.0,100.0,0.0,50.0,0.0,0.0,0.0,0.0,0
876704efd4073d369618d81e7d687236ff386106d1a51fcaad6d0a4944d5662a,1,85.71,85.71,2.0,14.29,0.0,0.0,85.71,0.0,50.0,0.0,0.0,0.0,0.0,0
71cdd2451208520d6fc0c93383be0bd341bc11d3307470e0cca5855b15bbb0fd,1,57.14,71.43,2.25,28.57,14.29,0.0,57.14,0.0,61.54,7.69,0.0,0.0,0.0,0
ef85ae636a77b1e1b2579bfa5b098d63b5ec0b012b69680ab8a778e01712887e,1,85.71,85.71,1.5,14.29,0.0,0.0,85.71,0.0,11.11,22.22,0.0,0.0,0.0,0
8a47830a151b0896ecd61b48ff91e24a8ab274c75ce762709d9f047024fd19df,1,28.57,57.14,1.0,42.86,28.57,0.0,28.57,0.0,62.5,12.5,0.0,0.0,0.0,1
9d37538a93fd031e2ab6caedebd9d57a09ad5771d6e558ec8313754fc68b87fe,1,57.14,71.43,2.25,28.57,14.29,0.0,57.14,0.0,30.0,0.0,20.0,0.0,0.0,0
ff79985b0ae07115f540c9631493b3615e65fef7b4ac30a1af654433fd17d36b,1,100.0,100.0,1.43,0.0,0.0,0.0,100.0,0.0,20.0,0.0,10.0,0.0,0.0,1
af83debb674c7ad0c8a18ced68b9cebc24116cc43170ab88a8e8aac803af0e09,1,0.0,0.0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5aabcc72bb3cef7afa9a7b81ceefc0a8c54ae6911b2113a5319992f2f1464f78,1,85.71,100.0,1.33,0.0,14.29,0.0,85.71,0.0,33.33,0.0,0.0,0.0,0.0,0
7ae1144fa4836e80c9b4ceaaf4d5c076471cb0a5248bb2e7b9f67fbb9afbc423,1,28.57,57.14,4.0,42.86,28.57,0.0,28.57,0.0,70.59,17.65,0.0,0.0,0.0,1
70b4f025c2cda2adbf668fdde2e31727c23a2e53b360bd9ac5e44a61527d703d,1,71.43,71.43,3.6,28.57,0.0,0.0,57.14,14.29,22.22,44.44,5.56,0.0,0.0,0
d6380f88a9161f93e09a4882c1a5e607dfa02407b5d798a8e1f41a970e63c702,1,42.86,42.86,1.33,57.14,0.0,0.0,42.86,0.0,0.0,0.0,25.0,0.0,0.0,1
9bef86d568058d78d37a95c9b7f7a55c3c0a546e20f6ebce6881ce548ff2c00d,1,57.14,85.71,4.0,14.29,28.57,0.0,42.86,14.29,83.33,0.0,0.0,0.0,0.0,0
51345c18fa2cbc440131f71224f9b2bc81a7f6675a64d40db12756bceef6ad8f,1,100.0,100.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0
a25ec9c9e5b5dd70e647355df34f126938fd8dd4ad13982032652926b11169ee,1,42.86,57.14,2.0,42.86,14.29,0.0,42.86,0.0,66.67,0.0,0.0,0.0,0.0,0
d5b10f05ed0aeeb25c610fb7d13887892baace66da1cd09db09eed1a3917f036,1,0.0,0.0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
327f9e9384621e301d75d185534e1fc1ad0797916c33a81c957e28bcec534b9d,1,100.0,100.0,1.43,0.0,0.0,0.0,100.0,0.0,30.0,0.0,0.0,0.0,0.0,0
3e1d0a03caeaeaeb92384ed96389c1123e7177a0303fdd4db66185f169b6a754,1,71.43,100.0,1.8,0.0,28.57,0.0,71.43,0.0,55.56,0.0,16.67,0.0,0.0,0
ce652988f167b7452fd494b61c136276b381063265a48a70ec9d56087559699c,1,0.0,0.0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11a5327006ae74d6d626ae11682159b2ddec2b35f06c1e5cb8f6af71d62b6150,1,85.71,85.71,1.5,14.29,0.0,0.0,85.71,0.0,11.11,0.0,22.22,0.0,0.0,1
f857f87e1c311fc76a1810f403624408950ac58bd4ed5a1815e6390d8217ee0b,1,42.86,42.86,2.33,57.14,0.0,0.0,42.86,0.0,42.86,14.29,0.0,0.0,0.0,1
dc289e0f247b92979f43a6c9de1d662865e5402310df42988e3f55808d8a6feb,1,100.0,100.0,3.43,0.0,0.0,0.0,100.0,0.0,41.67,20.83,8.33,0.0,0.0,0
b589c71216ccecda16a5c0dce51e6b383cd3be82842253fa3f1a97dceca8104a,1,71.43,71.43,4.6,28.57,0.0,0.0,57.14,14.29,43.48,13.04,21.74,0.0,0.0,0
f03b900a94f9e7886b2d0d62aabf77212f3538d18c0ec50c3ae3a269a22f2c45,1,100.0,100.0,2.29,0.0,0.0,0.0,85.71,14.29,56.25,0.0,0.0,0.0,0.0,0
18460b59bff0fd2ea6a074d5533a7d7052618f8d2b9bcf49dcc38ad0c3641030,1,0.0,0.0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1717fc0a0ab6548182b3b018b50fa2b7adcc2cef1839c5f25a492e5b08466f20,2,59.52,75.0,2.0,25.0,7.14,8.34,59.52,0.0,66.18,2.94,0.0,0.0,0.0,0
8515cf3517b09361de7db9b2a52ab50fff2f1688a3fadaf8e83c00bc964530b3,2,76.19,76.19,1.6,23.81,0.0,0.0,76.19,0.0,32.73,0.0,0.0,0.0,0.0,0
89da09f2fd1585a3b93967ecba820b8e6945277120ed6e299b6aac69e404cb28,2,84.52,84.52,1.91,15.48,0.0,0.0,84.52,0.0,26.67,0.0,11.67,0.0,0.0,0
5b334737081e7d8bc28d3f3538927999484177b14cae9cece226e9ec7891ec5f,2,67.86,67.85,1.67,32.14,0.0,0.0,67.85,0.0,30.68,0.0,0.0,0.0,0.0,1
eb8b3927b89d7526603713c0c6feeffba2e86c0b313c1374a239fba6445c3eb6,2,91.67,91.66,1.42,8.33,0.0,0.0,91.66,0.0,29.29,0.0,0.0,0.0,0.0,0
